fecha,clae2,salario_median,salario_normalizado,ipc_normalizado,salario_real,anio,mes
2019-02-01,7,103221,0.8903504610421537,104,99638,2019,2
2019-02-01,8,33988,0.7483582598931011,104,32808,2019,2
2019-02-01,9,103963,0.7781302509739446,104,100354,2019,2
2019-02-01,10,33052,0.7535351884958896,104,31905,2019,2
2019-02-01,11,38160,0.7438765663936476,104,36835,2019,2
2019-02-01,12,48123,0.718311803814985,104,46452,2019,2
2019-02-01,13,24274,0.7421577220195268,104,23431,2019,2
2019-02-01,14,24718,0.7638324500548508,104,23860,2019,2
2019-02-01,15,26774,0.7189178908269095,104,25845,2019,2
2019-02-01,16,18933,0.7612123323929694,104,18276,2019,2
2019-02-01,17,37267,0.7328894300655695,104,35973,2019,2
2019-02-01,18,29270,0.7506250934968907,104,28254,2019,2
2019-02-01,19,75662,0.7556634560086025,104,73035,2019,2
2019-02-01,20,43856,0.7634311112916352,104,42334,2019,2
2019-02-01,21,60415,0.7799861857946073,104,58318,2019,2
2019-02-01,22,32579,0.7451496882725286,104,31448,2019,2
2019-02-01,23,34472,0.7479252624384811,104,33275,2019,2
2019-02-01,24,43000,0.7233049992150178,104,41507,2019,2
2019-02-01,25,23115,0.6855998813584459,104,22313,2019,2
2019-02-01,26,35931,0.7697561863887843,104,34684,2019,2
2019-02-01,27,28654,0.7049084546455346,104,27659,2019,2
2019-02-01,28,27752,0.6850513237199926,104,26789,2019,2
2019-02-01,29,45995,0.7375120426627613,104,44398,2019,2
2019-02-01,30,26451,0.7384164427539519,104,25533,2019,2
2019-02-01,31,23496,0.733484044006129,104,22680,2019,2
2019-02-01,32,28770,0.7624322569531861,104,27771,2019,2
2019-02-01,33,31210,0.7424706199546413,104,30127,2019,2
2019-02-01,35,67325,0.8066545254127627,104,64988,2019,2
2019-02-01,36,43930,0.7851641567409045,104,42405,2019,2
2019-02-01,37,33992,0.7773005316614897,104,32812,2019,2
2019-02-01,38,45007,0.7007098124335889,104,43445,2019,2
2019-02-01,39,35007,0.7322797586051815,104,33792,2019,2
2019-02-01,41,15291,0.7301856383931237,104,14760,2019,2
2019-02-01,42,31541,0.7278342387385223,104,30446,2019,2
2019-02-01,43,20657,0.718956561083348,104,19940,2019,2
2019-02-01,45,31191,0.8108455894299696,104,30108,2019,2
2019-02-01,46,32687,0.8127910084979144,104,31552,2019,2
2019-02-01,47,30280,0.8064702278961993,104,29229,2019,2
2019-02-01,49,40120,0.7924742598948175,104,38727,2019,2
2019-02-01,50,64376,0.7780830748156802,104,62141,2019,2
2019-02-01,51,64079,0.7495357730146925,104,61855,2019,2
2019-02-01,52,35084,0.7700487810231395,104,33866,2019,2
2019-02-01,53,37084,0.7926443922753295,104,35797,2019,2
2019-02-01,55,25441,0.7495175759480308,104,24558,2019,2
2019-02-01,56,13682,0.760068885061941,104,13207,2019,2
2019-02-01,58,33637,0.7830084732611192,104,32469,2019,2
2019-02-01,59,27264,0.7957484585730095,104,26318,2019,2
2019-02-01,60,47383,0.7906302838835989,104,45738,2019,2
2019-02-01,61,58286,0.7721747194453491,104,56263,2019,2
2019-02-01,62,45540,0.7776019670563594,104,43959,2019,2
2019-02-01,63,43551,0.7899608051792184,104,42039,2019,2
2019-02-01,64,73063,0.8089737107257139,104,70527,2019,2
2019-02-01,65,45625,0.7960174411419615,104,44041,2019,2
2019-02-01,66,33451,0.8232910146235412,104,32290,2019,2
2019-02-01,68,25853,0.7589555908378123,104,24956,2019,2
2019-02-01,69,25836,0.8082484977254063,104,24939,2019,2
2019-02-01,70,31820,0.7924046692607004,104,30715,2019,2
2019-02-01,71,28649,0.7826259177053099,104,27654,2019,2
2019-02-01,72,40320,0.7686881589232265,104,38920,2019,2
2019-02-01,73,31984,0.8003019314857407,104,30874,2019,2
2019-02-01,74,30642,0.7951714995642498,104,29578,2019,2
2019-02-01,75,17022,0.8068605105882074,104,16431,2019,2
2019-02-01,77,30869,0.8038121773547812,104,29797,2019,2
2019-02-01,78,25209,0.8205164370185527,104,24334,2019,2
2019-02-01,79,32022,0.8154835423696442,104,30910,2019,2
2019-02-01,80,27596,0.8214419487268533,104,26638,2019,2
2019-02-01,81,19062,0.813856017533498,104,18400,2019,2
2019-02-01,82,23696,0.8206359559252183,104,22873,2019,2
2019-02-01,85,19044,0.7854248507531937,104,18383,2019,2
2019-02-01,86,31621,0.7737885974607551,104,30523,2019,2
2019-02-01,87,23826,0.7565470725053385,104,22999,2019,2
2019-02-01,88,24483,0.7854038014275403,104,23633,2019,2
2019-02-01,90,16520,0.7617261797264948,104,15947,2019,2
2019-02-01,91,26635,0.7890429626264895,104,25710,2019,2
2019-02-01,92,30547,0.7764196042963563,104,29487,2019,2
2019-02-01,93,22675,0.796345182418946,104,21888,2019,2
2019-02-01,94,32158,0.773543302035809,104,31042,2019,2
2019-02-01,95,27939,0.7855738657531613,104,26969,2019,2
2019-02-01,96,18800,0.792995208987279,104,18147,2019,2
2019-03-01,1,21689,0.8739133500548991,108,20031,2019,3
2019-03-01,2,16985,0.7945052760420525,108,15687,2019,3
2019-03-01,3,41998,0.7164041621652356,108,38788,2019,3
2019-03-01,5,46842,0.8221702683348078,108,43262,2019,3
2019-03-01,6,132138,0.8438267810816205,108,122038,2019,3
2019-03-01,7,93935,0.8102524734113669,108,86755,2019,3
2019-03-01,8,34578,0.7613490617448408,108,31935,2019,3
2019-03-01,9,103424,0.7740960060476251,108,95519,2019,3
2019-03-01,10,35057,0.7992461304338739,108,32377,2019,3
2019-03-01,11,40426,0.7880491109284486,108,37336,2019,3
2019-03-01,12,50640,0.7558820053860076,108,46769,2019,3
2019-03-01,13,26017,0.7954485232669534,108,24028,2019,3
2019-03-01,14,25171,0.7778309976669088,108,23247,2019,3
2019-03-01,15,29089,0.7810787527550598,108,26866,2019,3
2019-03-01,16,20079,0.8072879322937956,108,18544,2019,3
2019-03-01,17,40593,0.7982982433426802,108,37490,2019,3
2019-03-01,18,31704,0.8130446861710086,108,29281,2019,3
2019-03-01,19,82744,0.82639392302577,108,76420,2019,3
2019-03-01,20,47855,0.8330444142389001,108,44197,2019,3
2019-03-01,21,61331,0.7918121784485486,108,56643,2019,3
2019-03-01,22,35108,0.8029931936484218,108,32425,2019,3
2019-03-01,23,36055,0.7822709833261614,108,33299,2019,3
2019-03-01,24,46529,0.7826664722901294,108,42973,2019,3
2019-03-01,25,25304,0.7505264718967819,108,23370,2019,3
2019-03-01,26,36988,0.7924004848779147,108,34161,2019,3
2019-03-01,27,31182,0.7670990239672318,108,28799,2019,3
2019-03-01,28,30769,0.7595252298767818,108,28417,2019,3
2019-03-01,29,49561,0.7946914739951976,108,45773,2019,3
2019-03-01,30,28064,0.7834455804864431,108,25919,2019,3
2019-03-01,31,25068,0.7825577977164471,108,23152,2019,3
2019-03-01,32,30378,0.8050457803866489,108,28056,2019,3
2019-03-01,33,33822,0.8046088211504607,108,31237,2019,3
2019-03-01,35,79218,0.949150511610074,108,73163,2019,3
2019-03-01,36,45212,0.8080774380735208,108,41756,2019,3
2019-03-01,37,36522,0.835154448615584,108,33730,2019,3
2019-03-01,38,53747,0.8367820625428956,108,49639,2019,3
2019-03-01,39,37558,0.7856418194559204,108,34687,2019,3
2019-03-01,41,16426,0.7843848862890228,108,15171,2019,3
2019-03-01,42,34383,0.7934157011682131,108,31755,2019,3
2019-03-01,43,22394,0.7794119779687513,108,20682,2019,3
2019-03-01,45,31638,0.8224658638192228,108,29220,2019,3
2019-03-01,46,33942,0.8439976874731915,108,31348,2019,3
2019-03-01,47,31773,0.8462344303482807,108,29344,2019,3
2019-03-01,49,42810,0.8456087504012246,108,39538,2019,3
2019-03-01,50,68804,0.8316022722694492,108,63545,2019,3
2019-03-01,51,92028,1.0764568441922646,108,84994,2019,3
2019-03-01,52,37357,0.8199382143621429,108,34502,2019,3
2019-03-01,53,38399,0.8207515914944552,108,35464,2019,3
2019-03-01,55,27007,0.7956535188722326,108,24943,2019,3
2019-03-01,56,14717,0.8175656907949559,108,13592,2019,3
2019-03-01,58,35501,0.8263990192122661,108,32788,2019,3
2019-03-01,59,29035,0.8474382517116832,108,26816,2019,3
2019-03-01,60,49339,0.8232679985761324,108,45568,2019,3
2019-03-01,61,70421,0.932939572419808,108,65038,2019,3
2019-03-01,62,48193,0.8229023188042848,108,44509,2019,3
2019-03-01,63,45596,0.8270545538093647,108,42111,2019,3
2019-03-01,64,65418,0.7243261597286553,108,60418,2019,3
2019-03-01,65,46538,0.8119465134436078,108,42981,2019,3
2019-03-01,66,34757,0.8554340915150644,108,32100,2019,3
2019-03-01,68,28292,0.8305562826744821,108,26130,2019,3
2019-03-01,69,26494,0.8288332442613762,108,24469,2019,3
2019-03-01,70,32831,0.8175813229571984,108,30322,2019,3
2019-03-01,71,30120,0.822810312446645,108,27818,2019,3
2019-03-01,72,42471,0.809696299544354,108,39225,2019,3
2019-03-01,73,33251,0.8320047374885056,108,30710,2019,3
2019-03-01,74,31398,0.814789985748917,108,28998,2019,3
2019-03-01,75,17902,0.8485734261867048,108,16534,2019,3
2019-03-01,77,32019,0.8337575595815458,108,29572,2019,3
2019-03-01,78,26250,0.8543994792231746,108,24244,2019,3
2019-03-01,79,33353,0.8493792576558222,108,30804,2019,3
2019-03-01,80,28499,0.8483212819526957,108,26321,2019,3
2019-03-01,81,19942,0.8514277988486526,108,18418,2019,3
2019-03-01,82,24927,0.8632677444863233,108,23022,2019,3
2019-03-01,85,19522,0.8051388330394795,108,18030,2019,3
2019-03-01,86,33088,0.8096871418608351,108,30559,2019,3
2019-03-01,87,25735,0.8171635570773477,108,23768,2019,3
2019-03-01,88,24230,0.7772876734301066,108,22378,2019,3
2019-03-01,90,15311,0.7059799962344045,108,14141,2019,3
2019-03-01,91,27243,0.8070545309117122,108,25161,2019,3
2019-03-01,92,32178,0.8178750786345026,108,29719,2019,3
2019-03-01,93,22661,0.795853502923737,108,20929,2019,3
2019-03-01,94,33610,0.8084703769333771,108,31041,2019,3
2019-03-01,95,29069,0.8173466016528382,108,26847,2019,3
2019-03-01,96,19386,0.8177130383737975,108,17904,2019,3
2019-04-01,1,20253,0.8160527031519145,112,18043,2019,4
2019-04-01,2,17154,0.8024105684560122,112,15282,2019,4
2019-04-01,3,51280,0.8747370216637289,112,45685,2019,4
2019-04-01,6,129458,0.8267124326481741,112,115334,2019,4
2019-04-01,7,92358,0.7966497891023263,112,82282,2019,4
2019-04-01,8,36145,0.7958517507307326,112,32202,2019,4
2019-04-01,9,107810,0.8069238321085479,112,96048,2019,4
2019-04-01,10,36609,0.8346293632955955,112,32615,2019,4
2019-04-01,11,44068,0.8590448775638172,112,39260,2019,4
2019-04-01,12,52375,0.7817796214868118,112,46661,2019,4
2019-04-01,13,25993,0.7947147428711197,112,23157,2019,4
2019-04-01,14,25818,0.797824508273976,112,23001,2019,4
2019-04-01,15,30000,0.8055403273626386,112,26727,2019,4
2019-04-01,16,20803,0.8363967755121186,112,18533,2019,4
2019-04-01,17,41351,0.813205002351715,112,36840,2019,4
2019-04-01,18,31711,0.8132242002008848,112,28251,2019,4
2019-04-01,19,79230,0.7912983481742695,112,70586,2019,4
2019-04-01,20,48262,0.8401293390449859,112,42997,2019,4
2019-04-01,21,63095,0.8145862516380161,112,56211,2019,4
2019-04-01,22,35668,0.8158015617822693,112,31777,2019,4
2019-04-01,23,37180,0.8066796605205016,112,33124,2019,4
