fecha,clae2,w_median
2019-03-01,71,30120
2019-03-01,72,42471
2019-03-01,73,33251
2019-03-01,74,31398
2019-03-01,75,17902
2019-03-01,77,32019
2019-03-01,78,26250
2019-03-01,79,33353
2019-03-01,80,28499
2019-03-01,81,19942
2019-03-01,82,24927
2019-03-01,85,19522
2019-03-01,86,33088
2019-03-01,87,25735
2019-03-01,88,24230
2019-03-01,90,15311
2019-03-01,91,27243
2019-03-01,92,32178
2019-03-01,93,22661
2019-03-01,94,33610
2019-03-01,95,29069
2019-03-01,96,19386
2019-03-01,999,33494
2019-04-01,1,20253
2019-04-01,2,17154
2019-04-01,3,51280
2019-04-01,5,-99
2019-04-01,6,129458
2019-04-01,7,92358
2019-04-01,8,36145
2019-04-01,9,107810
2019-04-01,10,36609
2019-04-01,11,44068
2019-04-01,12,52375
2019-04-01,13,25993
2019-04-01,14,25818
2019-04-01,15,30000
2019-04-01,16,20803
2019-04-01,17,41351
2019-04-01,18,31711
2019-04-01,19,79230
2019-04-01,20,48262
2019-04-01,21,63095
2019-04-01,22,35668
2019-04-01,23,37180
2019-04-01,24,47434
2019-04-01,25,25903
2019-04-01,26,38409
2019-04-01,27,32461
2019-04-01,28,31646
2019-04-01,29,50148
2019-04-01,30,30071
2019-04-01,31,26040
2019-04-01,32,30689
2019-04-01,33,34577
2019-04-01,35,72091
2019-04-01,36,48185
2019-04-01,37,36852
2019-04-01,38,55058
2019-04-01,39,38343
2019-04-01,41,17100
2019-04-01,42,34855
2019-04-01,43,22745
2019-04-01,45,31917
2019-04-01,46,34117
2019-04-01,47,32061
2019-04-01,49,42399
2019-04-01,50,70910
2019-04-01,51,93001
2019-04-01,52,38549
2019-04-01,53,39434
2019-04-01,55,27448
2019-04-01,56,14875
2019-04-01,58,35996
2019-04-01,59,29592
2019-04-01,60,49535
2019-04-01,61,61707
2019-04-01,62,49851
2019-04-01,63,47185
2019-04-01,64,66157
2019-04-01,65,47584
2019-04-01,66,34701
2019-04-01,68,29148
2019-04-01,69,26796
2019-04-01,70,33869
2019-04-01,71,30607
2019-04-01,72,44562
2019-04-01,73,34989
2019-04-01,74,32408
2019-04-01,75,18058
2019-04-01,77,32002
2019-04-01,78,27210
2019-04-01,79,34352
2019-04-01,80,28650
2019-04-01,81,20648
2019-04-01,82,24816
2019-04-01,85,21561
2019-04-01,86,34397
2019-04-01,87,26695
2019-04-01,88,26051
2019-04-01,90,20173
2019-04-01,91,28634
2019-04-01,92,33542
2019-04-01,93,23855
2019-04-01,94,34345
2019-04-01,95,30751
2019-04-01,96,20166
2019-04-01,999,33288
2019-05-01,1,20817
2019-05-01,2,18182
2019-05-01,3,44218
2019-05-01,5,-99
2019-05-01,6,139261
2019-05-01,7,102513
2019-05-01,8,40855
2019-05-01,9,130893
2019-05-01,10,38636
2019-05-01,11,45625
2019-05-01,12,53207
2019-05-01,13,26907
2019-05-01,14,28906
2019-05-01,15,32889
2019-05-01,16,22449
2019-05-01,17,46262
2019-05-01,18,36626
2019-05-01,19,80073
2019-05-01,20,48731
2019-05-01,21,66959
2019-05-01,22,39444
2019-05-01,23,40964
2019-05-01,24,57845
2019-05-01,25,32947
2019-05-01,26,42709
2019-05-01,27,38923
2019-05-01,28,39540
2019-05-01,29,56815
2019-05-01,30,33720
2019-05-01,31,29394
2019-05-01,32,33930
2019-05-01,33,39055
2019-05-01,35,72533
2019-05-01,36,48087
2019-05-01,37,39171
2019-05-01,38,58617
2019-05-01,39,40296
2019-05-01,41,19998
2019-05-01,42,40212
2019-05-01,43,27059
2019-05-01,45,34144
2019-05-01,46,35379
2019-05-01,47,33350
2019-05-01,49,42287
2019-05-01,50,72803
2019-05-01,51,73532
2019-05-01,52,40169
2019-05-01,53,40453
2019-05-01,55,29913
2019-05-01,56,15597
2019-05-01,58,37373
2019-05-01,59,29852
2019-05-01,60,49919
2019-05-01,61,59256
2019-05-01,62,50000
2019-05-01,63,47500
2019-05-01,64,87785
2019-05-01,65,49500
2019-05-01,66,35665
2019-05-01,68,30264
2019-05-01,69,27500
2019-05-01,70,35029
2019-05-01,71,32538
2019-05-01,72,46482
2019-05-01,73,35543
2019-05-01,74,32707
2019-05-01,75,18458
2019-05-01,77,34272
2019-05-01,78,28422
2019-05-01,79,34649
2019-05-01,80,28328
2019-05-01,81,21369
2019-05-01,82,25536
2019-05-01,85,21326
2019-05-01,86,34638
2019-05-01,87,26653
2019-05-01,88,25994
2019-05-01,90,21553
2019-05-01,91,29258
2019-05-01,92,34806
2019-05-01,93,25588
2019-05-01,94,37000
2019-05-01,95,31839
2019-05-01,96,21086
2019-05-01,999,34898
2019-06-01,1,30130
2019-06-01,2,25244
2019-06-01,3,75670
2019-06-01,5,89467
2019-06-01,6,205771
2019-06-01,7,143007
2019-06-01,8,58233
2019-06-01,9,182517
2019-06-01,10,56734
2019-06-01,11,67103
2019-06-01,12,80724
2019-06-01,13,44495
2019-06-01,14,42025
2019-06-01,15,48076
2019-06-01,16,31968
2019-06-01,17,68754
2019-06-01,18,51940
2019-06-01,19,130363
2019-06-01,20,73890
2019-06-01,21,102202
2019-06-01,22,55607
2019-06-01,23,60079
2019-06-01,24,75834
2019-06-01,25,45000
2019-06-01,26,61896
2019-06-01,27,54677
2019-06-01,28,54969
2019-06-01,29,81798
2019-06-01,30,47003
2019-06-01,31,41051
2019-06-01,32,49034
2019-06-01,33,55730
2019-06-01,35,104831
2019-06-01,36,73721
2019-06-01,37,55923
2019-06-01,38,79453
2019-06-01,39,59137
2019-06-01,41,25404
2019-06-01,42,54782
2019-06-01,43,35979
2019-06-01,45,50201
2019-06-01,46,52949
2019-06-01,47,49834
2019-06-01,49,64347
2019-06-01,50,105350
2019-06-01,51,111535
2019-06-01,52,58074
2019-06-01,53,51001
2019-06-01,55,45833
2019-06-01,56,23826
2019-06-01,58,57340
2019-06-01,59,43175
2019-06-01,60,80918
2019-06-01,61,93224
2019-06-01,62,74433
2019-06-01,63,73332
2019-06-01,64,108041
2019-06-01,65,74638
2019-06-01,66,53632
2019-06-01,68,45000
2019-06-01,69,40376
2019-06-01,70,52496
2019-06-01,71,47061
2019-06-01,72,67809
2019-06-01,73,52734
2019-06-01,74,49219
2019-06-01,75,27353
2019-06-01,77,50179
2019-06-01,78,35230
2019-06-01,79,52160
2019-06-01,80,40457
2019-06-01,81,29815
2019-06-01,82,37708
2019-06-01,85,30405
2019-06-01,86,51380
2019-06-01,87,39637
2019-06-01,88,38430
2019-06-01,90,29179
2019-06-01,91,43666
2019-06-01,92,53151
2019-06-01,93,37998
2019-06-01,94,55085
2019-06-01,95,47535
2019-06-01,96,29826
2019-06-01,999,52276
2019-07-01,1,21301
2019-07-01,2,19098
2019-07-01,3,59574
2019-07-01,5,57116
2019-07-01,6,140753
2019-07-01,7,105438
2019-07-01,8,42842
2019-07-01,9,131258
2019-07-01,10,41739
2019-07-01,11,47827
2019-07-01,12,61147
2019-07-01,13,31564
2019-07-01,14,30263
2019-07-01,15,34880
2019-07-01,16,23393
2019-07-01,17,48718
2019-07-01,18,36818
2019-07-01,19,105500
2019-07-01,20,53047
2019-07-01,21,69349
2019-07-01,22,43552
2019-07-01,23,44000
2019-07-01,24,51795
2019-07-01,25,32801
2019-07-01,26,44735
2019-07-01,27,39230
2019-07-01,28,38886
