fecha,clae2,salario_median,salario_normalizado
2022-09-01,39,199894,4.181401721559235
2022-09-01,41,79438,3.793374321017131
2022-09-01,42,142693,3.2927570789865874
2022-09-01,43,104218,3.627255404123753
2022-09-01,45,141272,3.6725266297954753
2022-09-01,46,153287,3.811616095683905
2022-09-01,47,143649,3.8259128720958104
2022-09-01,49,186896,3.691681686871929
2022-09-01,50,333966,4.036493291970508
2022-09-01,51,250000,2.924264474378082
2022-09-01,52,167342,3.67294217061835
2022-09-01,53,155214,3.3175899768801367
2022-09-01,55,121800,3.5883511163268014
2022-09-01,56,64727,3.595744680851064
2022-09-01,58,150394,3.5009000900090013
2022-09-01,59,121030,3.5324763769473053
2022-09-01,60,208864,3.485093886268577
2022-09-01,61,287744,3.8120413559359454
2022-09-01,62,238955,4.080190558584812
2022-09-01,63,203216,3.686084704950519
2022-09-01,64,306440,3.3929882966041327
2022-09-01,65,205232,3.580674005050894
2022-09-01,66,163314,4.019459769879196
2022-09-01,68,120000,3.5227892662568165
2022-09-01,69,120482,3.769135915116597
2022-09-01,70,163702,4.076625680933852
2022-09-01,71,132837,3.62880655625747
2022-09-01,72,225309,4.295445446399634
2022-09-01,73,152823,3.823928904309822
2022-09-01,74,159444,4.1376321577091
2022-09-01,75,82511,3.9111072488041114
2022-09-01,77,146034,3.802646911394218
2022-09-01,78,121028,3.9392861017684715
2022-09-01,79,144724,3.6855924110269305
2022-09-01,80,112349,3.3442593672094953
2022-09-01,81,76070,3.247824323458881
2022-09-01,82,115024,3.983492158775418
2022-09-01,85,87767,3.6197428521348223
2022-09-01,86,163023,3.989289982095591
2022-09-01,87,125766,3.99344829684825
2022-09-01,88,121989,3.913353115727003
2022-09-01,90,71047,3.2759297754859733
2022-09-01,91,127476,3.7763859847484276
2022-09-01,92,139500,3.545701207953046
2022-09-01,93,98685,3.4658136417646612
2022-09-01,94,147320,3.543702943464002
2022-09-01,95,140478,3.949885304172397
2022-09-01,96,85318,3.5987641085306743
2022-10-01,1,110904,4.468647064156417
2022-10-01,2,98915,4.626934906075927
2022-10-01,3,176334,3.0079149371695
2022-10-01,6,628350,4.012612253043304
2022-10-01,7,431760,3.7242200236343406
2022-10-01,8,200171,4.407426775363715
2022-10-01,9,532159,3.983042199898458
2022-10-01,10,163776,3.733843005902905
2022-10-01,11,200000,3.8987241425243586
2022-10-01,12,257647,3.8457885276794768
2022-10-01,13,146926,4.492142434927947
2022-10-01,14,120682,3.7292996090913304
2022-10-01,15,116881,3.1384119667490853
2022-10-01,16,108302,4.354345218550857
2022-10-01,17,208337,4.097136479769516
2022-10-01,18,134352,3.4454384202765374
2022-10-01,19,380032,3.7955155099503215
2022-10-01,20,220779,3.843249665264865
2022-10-01,21,337778,4.360873522557823
2022-10-01,22,158295,3.620536845977467
2022-10-01,23,175634,3.810660986978423
2022-10-01,24,234176,3.9390853836320003
2022-10-01,25,123231,3.6550793415393743
2022-10-01,26,175931,3.7690010193861903
2022-10-01,27,152798,3.7589377417787535
2022-10-01,28,150447,3.713747351531483
2022-10-01,29,250000,4.008653346357002
2022-10-01,30,135571,3.784652964371707
2022-10-01,31,129925,4.05592077023733
2022-10-01,32,142358,3.7726218712318964
2022-10-01,33,145930,3.471603254405024
2022-10-01,35,297964,3.5700558337926243
2022-10-01,36,207549,3.7095387108449347
2022-10-01,37,159448,3.646123063437315
2022-10-01,38,218031,3.394504435192477
2022-10-01,39,207949,4.349896978381149
2022-10-01,41,86113,4.1121232018146
2022-10-01,42,154309,3.5608057304937266
2022-10-01,43,111283,3.873149198191326
2022-10-01,45,147567,3.8361723284092313
2022-10-01,46,153830,3.8251182683401406
2022-10-01,47,144468,3.8477259208622234
2022-10-01,49,197150,3.894224833954717
2022-10-01,50,365226,4.41431852060755
2022-10-01,51,256670,3.0022838505544893
2022-10-01,52,171976,3.7746525243767937
2022-10-01,53,152065,3.2502823188261236
2022-10-01,55,123883,3.6497184018383675
2022-10-01,56,66054,3.669462807621799
2022-10-01,58,155863,3.6282085105062234
2022-10-01,59,131610,3.841272543749772
2022-10-01,60,225184,3.757408561003827
2022-10-01,61,261838,3.468837871703862
2022-10-01,62,254932,4.353000102450852
2022-10-01,63,214561,3.8918688507739954
2022-10-01,64,480701,5.322454206911314
