fecha,clae2,salario_median,salario_normalizado,ipc_normalizado,salario_real
2019-02-01,8,33988,0.7483582598931011,103.59626985590474,32808.13107197292
2019-02-01,9,103963,0.7781302509739446,103.59626985590474,100353.99937141112
2019-02-01,10,33052,0.7535351884958896,103.59626985590474,31904.62363748526
2019-02-01,11,38160,0.7438765663936476,103.59626985590474,36835.303098343145
2019-02-01,12,48123,0.718311803814985,103.59626985590474,46452.44473274546
2019-02-01,13,24274,0.7421577220195268,103.59626985590474,23431.34558200161
2019-02-01,14,24718,0.7638324500548508,103.59626985590474,23859.932441950885
2019-02-01,15,26774,0.7189178908269095,103.59626985590474,25844.559883517803
2019-02-01,16,18933,0.7612123323929694,103.59626985590474,18275.754548242418
2019-02-01,17,37267,0.7328894300655695,103.59626985590474,35973.302949841556
2019-02-01,18,29270,0.7506250934968907,103.59626985590474,28253.913042151566
2019-02-01,19,75662,0.7556634560086025,103.59626985590474,73035.44819252723
2019-02-01,20,43856,0.7634311112916352,103.59626985590474,42333.57056291764
2019-02-01,21,60415,0.7799861857946073,103.59626985590474,58317.73681044027
2019-02-01,22,32579,0.7451496882725286,103.59626985590474,31448.043491638397
2019-02-01,23,34472,0.7479252624384811,103.59626985590474,33275.32936074646
2019-02-01,24,43000,0.7233049992150178,103.59626985590474,41507.28598607849
2019-02-01,25,23115,0.6855998813584459,103.59626985590474,22312.579431818704
2019-02-01,26,35931,0.7697561863887843,103.59626985590474,34683.6812271113
2019-02-01,27,28654,0.7049084546455346,103.59626985590474,27659.297038257977
2019-02-01,28,27752,0.6850513237199926,103.59626985590474,26788.609318270937
2019-02-01,29,45995,0.7375120426627613,103.59626985590474,44398.31671929488
2019-02-01,30,26451,0.7384164427539519,103.59626985590474,25532.772595761908
2019-02-01,31,23496,0.733484044006129,103.59626985590474,22680.35329136977
2019-02-01,32,28770,0.7624322569531861,103.59626985590474,27771.270181848326
2019-02-01,33,31210,0.7424706199546413,103.59626985590474,30126.567340128135
2019-02-01,35,67325,0.8066545254127627,103.59626985590474,64987.861139831024
2019-02-01,36,43930,0.7851641567409045,103.59626985590474,42405.00170624251
2019-02-01,37,33992,0.7773005316614897,103.59626985590474,32811.992214855345
2019-02-01,38,45007,0.7007098124335889,103.59626985590474,43444.61442733569
2019-02-01,39,35007,0.7322797586051815,103.59626985590474,33791.75722127092
2019-02-01,41,15291,0.7301856383931237,103.59626985590474,14760.183953793632
2019-02-01,42,31541,0.7278342387385223,103.59626985590474,30446.076913648874
2019-02-01,43,20657,0.718956561083348,103.59626985590474,19939.907130567986
2019-02-01,45,31191,0.8108455894299696,103.59626985590474,30108.226911436606
2019-02-01,46,32687,0.8127910084979144,103.59626985590474,31552.294349463897
2019-02-01,47,30280,0.8064702278961993,103.59626985590474,29228.85161996411
2019-02-01,49,40120,0.7924742598948175,103.59626985590474,38727.26311073184
2019-02-01,50,64376,0.7780830748156802,103.59626985590474,62141.233549762524
2019-02-01,51,64079,0.7495357730146925,103.59626985590474,61854.5436907424
2019-02-01,52,35084,0.7700487810231395,103.59626985590474,33866.08422175762
2019-02-01,53,37084,0.7926443922753295,103.59626985590474,35796.655662970574
2019-02-01,55,25441,0.7495175759480308,103.59626985590474,24557.834017949368
2019-02-01,56,13682,0.760068885061941,103.59626985590474,13207.039229337812
2019-02-01,58,33637,0.7830084732611192,103.59626985590474,32469.31578404005
2019-02-01,59,27264,0.7957484585730095,103.59626985590474,26317.549886614972
2019-02-01,60,47383,0.7906302838835989,103.59626985590474,45738.13329949667
2019-02-01,61,58286,0.7721747194453491,103.59626985590474,56262.64351126908
2019-02-01,62,45540,0.7776019670563594,103.59626985590474,43959.111716418935
2019-02-01,63,43551,0.7899608051792184,103.59626985590474,42039.158418132654
2019-02-01,64,73063,0.8089737107257139,103.59626985590474,70526.67060467099
2019-02-01,65,45625,0.7960174411419615,103.59626985590474,44041.16100267049
2019-02-01,66,33451,0.8232910146235412,103.59626985590474,32289.772640007242
2019-02-01,68,25853,0.7589555908378123,103.59626985590474,24955.531734839235
2019-02-01,69,25836,0.8082484977254063,103.59626985590474,24939.121877588925
2019-02-01,70,31820,0.7924046692607004,103.59626985590474,30715.391629698082
2019-02-01,71,28649,0.7826259177053099,103.59626985590474,27654.47060965494
2019-02-01,72,40320,0.7686881589232265,103.59626985590474,38920.320254853126
2019-02-01,73,31984,0.8003019314857407,103.59626985590474,30873.698487877544
2019-02-01,74,30642,0.7951714995642498,103.59626985590474,29578.285050823648
2019-02-01,75,17022,0.8068605105882074,103.59626985590474,16431.093536163444
2019-02-01,77,30869,0.8038121773547812,103.59626985590474,29797.40490940132
2019-02-01,78,25209,0.8205164370185527,103.59626985590474,24333.887730768667
2019-02-01,79,32022,0.8154835423696442,103.59626985590474,30910.37934526059
2019-02-01,80,27596,0.8214419487268533,103.59626985590474,26638.024745856324
2019-02-01,81,19062,0.813856017533498,103.59626985590474,18400.276406200654
2019-02-01,82,23696,0.8206359559252183,103.59626985590474,22873.410435491067
2019-02-01,85,19044,0.7854248507531937,103.59626985590474,18382.901263229738
2019-02-01,86,31621,0.7737885974607551,103.59626985590474,30523.299771297396
2019-02-01,87,23826,0.7565470725053385,103.59626985590474,22998.89757916991
2019-02-01,88,24483,0.7854038014275403,103.59626985590474,23633.090297608363
2019-02-01,90,16520,0.7617261797264948,103.59626985590474,15946.52010441899
2019-02-01,91,26635,0.7890429626264895,103.59626985590474,25710.385168353503
2019-02-01,92,30547,0.7764196042963563,103.59626985590474,29486.58290736604
2019-02-01,93,22675,0.796345182418946,103.59626985590474,21887.853714751855
2019-02-01,94,32158,0.773543302035809,103.59626985590474,31041.65820326307
2019-02-01,95,27939,0.7855738657531613,103.59626985590474,26969.11774802435
2019-02-01,96,18800,0.792995208987279,103.59626985590474,18147.37154740176
2019-03-01,1,21689,0.8739133500548991,108.27591475461658,20031.232291274864
2019-03-01,2,16985,0.7945052760420525,108.27591475461658,15686.775806505764
2019-03-01,3,41998,0.7164041621652356,108.27591475461658,38787.942909722056
2019-03-01,5,46842,0.8221702683348078,108.27591475461658,43261.698694633094
2019-03-01,6,132138,0.8438267810816205,108.27591475461658,122038.22087253805
2019-03-01,7,93935,0.8102524734113669,108.27591475461658,86755.21256309208
2019-03-01,8,34578,0.7613490617448408,108.27591475461658,31935.080002199375
2019-03-01,9,103424,0.7740960060476251,108.27591475461658,95518.93441342669
2019-03-01,10,35057,0.7992461304338739,108.27591475461658,32377.46832197072
2019-03-01,11,40426,0.7880491109284486,108.27591475461658,37336.09648241402
2019-03-01,12,50640,0.7558820053860076,108.27591475461658,46769.403994197935
2019-03-01,13,26017,0.7954485232669534,108.27591475461658,24028.4277985199
2019-03-01,14,25171,0.7778309976669088,108.27591475461658,23247.090599090763
2019-03-01,15,29089,0.7810787527550598,108.27591475461658,26865.623870205844
2019-03-01,16,20079,0.8072879322937956,108.27591475461658,18544.290339642583
2019-03-01,17,40593,0.7982982433426802,108.27591475461658,37490.33207615475
2019-03-01,18,31704,0.8130446861710086,108.27591475461658,29280.750083571314
2019-03-01,19,82744,0.82639392302577,108.27591475461658,76419.58064960336
2019-03-01,20,47855,0.8330444142389001,108.27591475461658,44197.271487802966
2019-03-01,21,61331,0.7918121784485486,108.27591475461658,56643.252692894035
2019-03-01,22,35108,0.8029931936484218,108.27591475461658,32424.570209879566
2019-03-01,23,36055,0.7822709833261614,108.27591475461658,33299.187618696815
2019-03-01,24,46529,0.7826664722901294,108.27591475461658,42972.6224021729
2019-03-01,25,25304,0.7505264718967819,108.27591475461658,23369.924934225604
2019-03-01,26,36988,0.7924004848779147,108.27591475461658,34160.87509749987
2019-03-01,27,31182,0.7670990239672318,108.27591475461658,28798.648407327808
2019-03-01,28,30769,0.7595252298767818,108.27591475461658,28417.215471909087
2019-03-01,29,49561,0.7946914739951976,108.27591475461658,45772.875816675434
2019-03-01,30,28064,0.7834455804864431,108.27591475461658,25918.968279880944
2019-03-01,31,25068,0.7825577977164471,108.27591475461658,23151.963256843483
2019-03-01,32,30378,0.8050457803866489,108.27591475461658,28056.100997941252
2019-03-01,33,33822,0.8046088211504607,108.27591475461658,31236.863781432912
2019-03-01,35,79218,0.949150511610074,108.27591475461658,73163.0854188857
2019-03-01,36,45212,0.8080774380735208,108.27591475461658,41756.2854144091
2019-03-01,37,36522,0.835154448615584,108.27591475461658,33730.493141313134
2019-03-01,38,53747,0.8367820625428956,108.27591475461658,49638.92489091936
2019-03-01,39,37558,0.7856418194559204,108.27591475461658,34687.30796236347
2019-03-01,41,16426,0.7843848862890228,108.27591475461658,15170.5021723676
2019-03-01,42,34383,0.7934157011682131,108.27591475461658,31754.984548430246
2019-03-01,43,22394,0.7794119779687513,108.27591475461658,20682.346624132475
2019-03-01,45,31638,0.8224658638192228,108.27591475461658,29219.794699218688
2019-03-01,46,33942,0.8439976874731915,108.27591475461658,31347.691752983144
2019-03-01,47,31773,0.8462344303482807,108.27591475461658,29344.476167212695
2019-03-01,49,42810,0.8456087504012246,108.27591475461658,39537.87885054529
2019-03-01,50,68804,0.8316022722694492,108.27591475461658,63545.064621184734
2019-03-01,51,92028,1.0764568441922646,108.27591475461658,84993.97138187298
2019-03-01,52,37357,0.8199382143621429,108.27591475461658,34501.67111001683
2019-03-01,53,38399,0.8207515914944552,108.27591475461658,35464.02732964468
2019-03-01,55,27007,0.7956535188722326,108.27591475461658,24942.758563809315
2019-03-01,56,14717,0.8175656907949559,108.27591475461658,13592.127144206379
2019-03-01,58,35501,0.8263990192122661,108.27591475461658,32787.53181670658
2019-03-01,59,29035,0.8474382517116832,108.27591475461658,26815.751283008234
2019-03-01,60,49339,0.8232679985761324,108.27591475461658,45567.8440693075
2019-03-01,61,70421,0.932939572419808,108.27591475461658,65038.471537824116
2019-03-01,62,48193,0.8229023188042848,108.27591475461658,44509.43694100279
2019-03-01,63,45596,0.8270545538093647,108.27591475461658,42110.934923369845
2019-03-01,64,65418,0.7243261597286553,108.27591475461658,60417.86869060902
2019-03-01,65,46538,0.8119465134436078,108.27591475461658,42980.93450003917
2019-03-01,66,34757,0.8554340915150644,108.27591475461658,32100.398393095133
2019-03-01,68,28292,0.8305562826744821,108.27591475461658,26129.54142582638
2019-03-01,69,26494,0.8288332442613762,108.27591475461658,24468.968985432075
2019-03-01,70,32831,0.8175813229571984,108.27591475461658,30321.609449713913
2019-03-01,71,30120,0.822810312446645,108.27591475461658,27817.82085910825
2019-03-01,72,42471,0.809696299544354,108.27591475461658,39224.789830915885
2019-03-01,73,33251,0.8320047374885056,108.27591475461658,30709.507350139724
2019-03-01,74,31398,0.814789985748917,108.27591475461658,28998.138756118227
2019-03-01,75,17902,0.8485734261867048,108.27591475461658,16533.686222435455
2019-03-01,77,32019,0.8337575595815458,108.27591475461658,29571.67350889067
2019-03-01,78,26250,0.8543994792231746,108.27591475461658,24243.618776613264
2019-03-01,79,33353,0.8493792576558222,108.27591475461658,30803.71112595742
2019-03-01,80,28499,0.8483212819526957,108.27591475461658,26320.71967675053
2019-03-01,81,19942,0.8514277988486526,108.27591475461658,18417.7617387894
2019-03-01,82,24927,0.8632677444863233,108.27591475461658,23021.74039027196
2019-03-01,85,19522,0.8051388330394795,108.27591475461658,18029.863838363588
2019-03-01,86,33088,0.8096871418608351,108.27591475461658,30558.96602211732
2019-03-01,87,25735,0.8171635570773477,108.27591475461658,23767.982065376855
2019-03-01,88,24230,0.7772876734301066,108.27591475461658,22378.014588851027
2019-03-01,90,15311,0.7059799962344045,108.27591475461658,14140.725603380028
2019-03-01,91,27243,0.8070545309117122,108.27591475461658,25160.72024119144
2019-03-01,92,32178,0.8178750786345026,108.27591475461658,29718.520571194735
2019-03-01,93,22661,0.795853502923737,108.27591475461658,20928.938860831742
2019-03-01,94,33610,0.8084703769333771,108.27591475461658,31041.067698360835
2019-03-01,95,29069,0.8173466016528382,108.27591475461658,26847.152541614134
2019-03-01,96,19386,0.8177130383737975,108.27591475461658,17904.258803939993
2019-04-01,1,20253,0.8160527031519145,112.24620004741708,18043.372507438435
2019-04-01,2,17154,0.8024105684560122,112.24620004741708,15282.477262262328
2019-04-01,3,51280,0.8747370216637289,112.24620004741708,45685.288213175474
2019-04-01,6,129458,0.8267124326481741,112.24620004741708,115333.9711681215
2019-04-01,7,92358,0.7966497891023263,112.24620004741708,82281.62731654564
2019-04-01,8,36145,0.7958517507307326,112.24620004741708,32201.535539493518
2019-04-01,9,107810,0.8069238321085479,112.24620004741708,96047.79489591358
2019-04-01,10,36609,0.8346293632955955,112.24620004741708,32614.91256232724
2019-04-01,11,44068,0.8590448775638172,112.24620004741708,39260.12638413059
2019-04-01,12,52375,0.7817796214868118,112.24620004741708,46660.82235111282
2019-04-01,13,25993,0.7947147428711197,112.24620004741708,23157.131367493566
2019-04-01,14,25818,0.797824508273976,112.24620004741708,23001.224085174814
2019-04-01,15,30000,0.8055403273626386,112.24620004741708,26726.96268321498
2019-04-01,16,20803,0.8363967755121186,112.24620004741708,18533.366823297376
2019-04-01,17,41351,0.813205002351715,112.24620004741708,36839.554463787426
2019-04-01,18,31711,0.8132242002008848,112.24620004741708,28251.290454914346
2019-04-01,19,79230,0.7912983481742695,112.24620004741708,70585.90844637077
2019-04-01,20,48262,0.8401293390449859,112.24620004741708,42996.55576724405
2019-04-01,21,63095,0.8145862516380161,112.24620004741708,56211.25701658164
2019-04-01,22,35668,0.8158015617822693,112.24620004741708,31776.576832830397
2019-04-01,23,37180,0.8066796605205016,112.24620004741708,33123.615752064434
2019-04-01,24,47434,0.7978895193666315,112.24620004741708,42258.89159718732
2019-04-01,25,25903,0.7682930446388848,112.24620004741708,23076.950479443924
2019-04-01,26,38409,0.8228428199328384,112.24620004741708,34218.53032332014
2019-04-01,27,32461,0.7985633191264292,112.24620004741708,28919.464521994716
2019-04-01,28,31646,0.7811737601053216,112.24620004741708,28193.382035767376
2019-04-01,29,50148,0.8041037920524439,112.24620004741708,44676.79082126216
2019-04-01,30,30071,0.8394737760407579,112.24620004741708,26790.21649489859
2019-04-01,31,26040,0.8129011110793156,112.24620004741708,23199.003609030602
2019-04-01,32,30689,0.8132875750308074,112.24620004741708,27340.791926172817
2019-04-01,33,34577,0.8225699015114268,112.24620004741708,30804.606289917483
2019-04-01,35,72091,0.8637583570966428,112.24620004741708,64225.78222652171
2019-04-01,36,48185,0.8612140881529816,112.24620004741708,42927.9565630238
2019-04-01,37,36852,0.8427006116965527,112.24620004741708,32831.400960061284
2019-04-01,38,55058,0.8571929000592916,112.24620004741708,49051.10371374835
2019-04-01,39,38343,0.8020625241865476,112.24620004741708,34159.73100541707
2019-04-01,41,17100,0.8165701665373366,112.24620004741708,15234.368729432541
2019-04-01,42,34855,0.804307485217057,112.24620004741708,31052.276144115272
2019-04-01,43,22745,0.7916283575466307,112.24620004741708,20263.49220765749
2019-04-01,45,31917,0.8297187867601661,112.24620004741708,28434.81559867242
2019-04-01,46,34117,0.8483492164139672,112.24620004741708,30394.79286210819
2019-04-01,47,32061,0.853904952991415,112.24620004741708,28563.10501955185
2019-04-01,49,42399,0.8374904323350041,112.24620004741708,37773.21636018773
2019-04-01,50,70910,0.8570565247169735,112.24620004741708,63173.63079555914
2019-04-01,51,93001,1.087838081526544,112.24620004741708,82854.47521672255
2019-04-01,52,38549,0.846101084815329,112.24620004741708,34343.25614917515
2019-04-01,53,39434,0.8428739878380256,112.24620004741708,35131.70154832999
2019-04-01,55,27448,0.8086458246382434,112.24620004741708,24453.389057629494
2019-04-01,56,14875,0.8263429809455031,112.24620004741708,13252.118997094096
2019-04-01,58,35996,0.8379217232068035,112.24620004741708,32068.79162483355
2019-04-01,59,29592,0.8636952899828527,112.24620004741708,26363.47599072326
2019-04-01,60,49535,0.8265384444246685,112.24620004741708,44130.669883768474
2019-04-01,61,61707,0.8174962325912596,112.24620004741708,54974.6895431049
2019-04-01,62,49851,0.8512129042539871,112.24620004741708,44412.193890698334
2019-04-01,63,47185,0.8558770313513219,112.24620004741708,42037.05780691663
2019-04-01,64,66157,0.7325085717871023,112.24620004741708,58939.18900778178
2019-04-01,65,47584,0.8301960311079254,112.24620004741708,42392.526410603394
2019-04-01,66,34701,0.8540558278811247,112.24620004741708,30915.07773567477
2019-04-01,68,29148,0.8556855127737807,112.24620004741708,25967.916943011674
2019-04-01,69,26796,0.8382809546775812,112.24620004741708,23872.523068647624
2019-04-01,70,33869,0.8434303501945525,112.24620004741708,30173.84997059361
2019-04-01,71,30607,0.8361140515622332,112.24620004741708,27267.73822817203
2019-04-01,72,44562,0.8495605589766076,112.24620004741708,39700.230369647536
2019-04-01,73,34989,0.8754928802136874,112.24620004741708,31171.656577433634
2019-04-01,74,32408,0.8409998680855757,112.24620004741708,28872.24688792104
2019-04-01,75,18058,0.8559679884973476,112.24620004741708,16087.849737783205
2019-04-01,77,32002,0.8333148887138458,112.24620004741708,28510.54199294153
2019-04-01,78,27210,0.8856460887490507,112.24620004741708,24241.355153675988
2019-04-01,79,34352,0.874820143884892,112.24620004741708,30604.154069793367
